Date : 2025-06-19 12:57:00
Directory : /home/pes/kaban_project/kaban_system2/bot
Total : 5381 files,  -1727019 codes, -394065 comments, -186590 blanks, all -2307674 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/sessions.py                                      | Python           |       -302 |       -366 |       -104 |       -772 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/status_codes.py                                  | Python           |        -15 |       -105 |         -4 |       -124 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/structures.py                                    | Python           |        -44 |        -39 |        -23 |       -106 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/utils.py                                         | Python           |       -476 |       -439 |       -146 |     -1,061 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/resolvelib/__init__.py                                    | Python           |        -23 |          0 |         -4 |        -27 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/resolvelib/compat/__init__.py                             | Python           |          0 |          0 |         -1 |         -1 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/resolvelib/compat/collections_abc.py                      | Python           |         -5 |          0 |         -2 |         -7 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/resolvelib/providers.py                                   | Python           |        -25 |        -98 |        -11 |       -134 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/resolvelib/reporters.py                                   | Python           |         -9 |        -26 |         -9 |        -44 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/resolvelib/resolvers.py                                   | Python           |       -289 |       -115 |        -79 |       -483 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/resolvelib/structs.py                                     | Python           |       -104 |        -21 |        -41 |       -166 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/__init__.py                                          | Python           |        -65 |        -88 |        -20 |       -173 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/__main__.py                                          | Python           |       -234 |        -12 |        -35 |       -281 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_cell_widths.py                                      | Python           |       -449 |         -1 |         -2 |       -452 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_emoji_codes.py                                      | Python           |     -3,610 |          0 |         -1 |     -3,611 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_emoji_replace.py                                    | Python           |        -24 |         -1 |         -8 |        -33 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_extension.py                                        | Python           |         -6 |         -1 |         -4 |        -11 |
